
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0308                          U8                                68   1     12  12   1 7           8 0 SPI_NSS             (4311-1-13)
40-0308                          U8                                68   1     13  13   1 8           9 0 SPI_SCK             (4311-2-13)
40-0308                          U8                                68   1     14  14   1 9          10 0 SPI_MISO            (4311-4-13)
40-0308                          U8                                68   1     15  15   1 10         11 0 SPI_MOSI            (4311-3-13)
40-0308                          U8                                68   1     16  16   1 11         12 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0308                          U8                                68   1     17  17   1 12         13 0                     (0-0-0)
40-0308                          U8                                68   1     18  18   1 14         15 0                     (0-0-0)
40-0308                          U8                                68   1     19  19   1 15         16 0                     (0-0-0)
40-0308                          U8                                68   1     20  20   1 16         17 0                     (0-0-0)
40-0308                          U8                                68   1     21  21   1 17         18 0                     (0-0-0)
40-0308                          U8                                68   1     22  22   1 18         19 0                     (0-0-0)
40-0308                          U8                                68   1     23  23   1 19         20 0                     (0-0-0)
40-0308                          U8                                68   1     24  24   1 20         21 0                     (0-0-0)
40-0308                          U8                                68   1     25  25   1 21         22 0                     (0-0-0)
40-0308                          U8                                68   1     26  26   1 22         23 0 XSIG040081          (4631-37-13)
40-0308                          U8                                68   1     27  27   1 23         24 0                     (0-0-0)
40-0308                          U8                                68   1     28  28   1 24         25 0                     (0-0-0)
40-0308                          U8                                68   1     29  29   1 27         28 0                     (0-0-0)
40-0308                          U8                                68   1     30  30   1 28         29 0                     (0-0-0)
40-0308                          U8                                68   1     31  31   1 29         30 0                     (0-0-0)
40-0308                          U8                                68   1     32  32   1 37         38 0                     (0-0-0)
40-0308                          U8                                68   1     33  33   1 38         39 0                     (0-0-0)
40-0308                          U8                                68   1     34  34   1 39         40 0                     (0-0-0)
40-0308                          U8                                68   1     35  35   1 40         41 0                     (0-0-0)
40-0308                          U8                                68   1     36  36   1 41         42 0                     (0-0-0)
40-0308                          U8                                68   1     37  37   1 42         43 0                     (0-0-0)
40-0308                          U8                                68   1     38  38   1 43         44 0                     (0-0-0)
40-0308                          U8                                68   1     39  39   1 25         26 0 SWCLK               (4633-2-13)
40-0308                          U8                                68   1     40  40   1 26         27 0 SWDIO               (4633-1-13)
40-0308                          U8                                68   1     41  41   1 34         35 0 XSIG040069          (4631-30-13)
40-0308                          U8                                68   1     42  42   1 35         36 0 XSIG040071          (4631-31-13)
40-0308                          U8                                68   2      1   1   2 48         49 0 VCC                 (43-2-13)
40-0308                          U8                                68   2      1   1   3 36         37 0 VCC                 (43-2-13)
40-0308                          U8                                68   2      1   1   4 13         14 0 VCC                 (43-2-13)
40-0308                          U8                                68   3      1   1   5 EXP         1 0 GND                 (43-1-13)
40-0308                          U8                                68   3      1   1   6 31         32 0 GND                 (43-1-13)
40-0308                          U8                                68   3      1   1   7 45         46 0 GND                 (43-1-13)
40-0308                          U8                                 0   4      1   1   8 44         45 1                     (0-0-0)
40-0317                          U4                                35   1      1   1   1 60         60 0 XSIG011656          (4619-1-13)
40-0317                          U4                                35   1      2   2   1 28         28 0                     (0-0-0)
40-0317                          U4                                35   1      3   3   1 56         56 0                     (0-0-0)
