
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
50-0029                          L2                                24   1      1   1   1 1           1 0 XSIG020334          (4311-5-13)
50-0029                          L2                                24   1      2   2   1 2           2 0 XSIG020345          (4311-10-13)
50-0033                          L1                                33   1      1   1   1 1           1 0 XSIG020345          (4311-10-13)
50-0033                          L1                                33   1      2   2   1 2           2 0 XSIG020346          (4311-11-13)
70-0002                          J3                                41   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0002                          J3                                41   1      2   2   1 2           2 0 XSIG011624          (4292-11-13)
70-0058                          J5                                58   1      1   1   1 3           7 0 SD_CMD              (4228-13-13)
70-0058                          J5                                58   1      2   2   1 7          11 0 SD_D0               (4228-14-13)
70-0058                          J5                                58   1      3   3   1 8          12 0 SD_D1               (4228-10-13)
70-0058                          J5                                58   1      4   4   1 1           5 0 SD_D2               (4228-12-13)
70-0058                          J5                                58   1      5   5   1 2           6 0 SD_D3               (4228-11-13)
70-0058                          J5                                58   1      6   6   1 6          10 0 GND                 (43-1-13)
70-0058                          J5                                58   1      7   7   1 5           9 0 SD_SCK              (4228-15-13)
70-0058                          J5                                58   1      8   8   1 GND1        1 0 GND                 (43-1-13)
70-0058                          J5                                58   1      9   9   1 GND2        2 0 GND                 (43-1-13)
70-0058                          J5                                58   1     10  10   1 GND3        3 0 GND                 (43-1-13)
70-0058                          J5                                58   1     11  11   1 GND4        4 0 GND                 (43-1-13)
70-0058                          J5                                58   1     12  12   1 4           8 0 VCC                 (43-2-13)
70-0065                          J1                                20   1      1   1   1 2           2 0 OTG_HS_DM           (4264-7-13)
70-0065                          J1                                20   1      2   2   1 3           3 0 OTG_HS_DP           (4264-8-13)
70-0065                          J1                                20   1      3   3   1 5           5 0 GND                 (43-1-13)
70-0065                          J1                                20   1      4   4   1 4           4 0 OTG_HS_ID           (4264-6-13)
70-0065                          J1                                20   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0065                          J1                                20   1      6   6   1 7           7 0 GND                 (43-1-13)
70-0065                          J1                                20   1      7   7   1 8           8 0 GND                 (43-1-13)
70-0065                          J1                                20   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0065                          J1                                20   1      9   9   1 1           1 0 OTG_HS_VBAT         (4264-11-13)
70-0081                          J4                                 5   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J4                                 5   1      2   2   1 2           2 0 SWDIO_p02           (4427-1-13)
70-0081                          J4                                 5   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J4                                 5   1      4   4   1 4           4 0 SWCLK_p02           (4427-2-13)
70-0081                          J4                                 5   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J4                                 5   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J4                                 5   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J4                                 5   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J4                                 5   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J4                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0081                          J6                                 4   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J6                                 4   1      2   2   1 2           2 0 SWDIO               (4292-10-13)
70-0081                          J6                                 4   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J6                                 4   1      4   4   1 4           4 0 SWCLK               (4292-9-13)
70-0081                          J6                                 4   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J6                                 4   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J6                                 4   1      7   7   1 8           8 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0081                          J6                                 4   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J6                                 4   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J6                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0086                          J2                                38   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0086                          J2                                38   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0086                          J2                                38   1      3   3   1 1           3 0 XSIG020286          (4299-1-13)
70-0086                          J2                                38   1      4   4   1 2           4 0 GND                 (43-1-13)
80-0050                          U3                                21   1      1   1   1 1           1 0 XSIG011599          (4292-4-13)
80-0050                          U3                                 0   2      1   1   2 2           2 1                     (0-0-0)
80-0050                          U5                                22   1      1   1   1 1           1 0 XSIG011598          (4292-3-13)
80-0050                          U5                                 0   2      1   1   2 2           2 1                     (0-0-0)
80-0050                          U8                                23   1      1   1   1 1           1 0 XSIG020340          (4311-9-13)
80-0050                          U8                                 0   2      1   1   2 2           2 1                     (0-0-0)
80-0071                          U2                                36   1      1   1   1 43         40 0 XSIG011598          (4292-3-13)
80-0071                          U2                                36   1      2   2   1 47         44 0 XSIG011599          (4292-4-13)
80-0071                          U2                                36   1      3   3   1 9           9 0                     (0-0-0)
80-0071                          U2                                36   1      4   4   1 4           4 0                     (0-0-0)
80-0071                          U2                                36   1      5   5   1 5           5 0                     (0-0-0)
80-0071                          U2                                36   1      6   6   1 6           6 0                     (0-0-0)
80-0071                          U2                                36   1      7   7   1 7           7 0                     (0-0-0)
80-0071                          U2                                36   1      8   8   1 8           8 0                     (0-0-0)
80-0071                          U2                                36   1      9   9   1 13         12 0                     (0-0-0)
80-0071                          U2                                36   1     10  10   1 17         16 0 UART_WIFI2UC_TS     (4264-4-13)
80-0071                          U2                                36   1     11  11   1 18         17 0 UART_UC2WIFI_TS     (4264-5-13)
80-0071                          U2                                36   1     12  12   1 21         20 0                     (0-0-0)
80-0071                          U2                                36   1     13  13   1 22         21 0                     (0-0-0)
80-0071                          U2                                36   1     14  14   1 23         22 0                     (0-0-0)
80-0071                          U2                                36   1     15  15   1 24         23 0                     (0-0-0)
80-0071                          U2                                36   1     16  16   1 25         24 0                     (0-0-0)
80-0071                          U2                                36   1     17  17   1 28         26 0                     (0-0-0)
80-0071                          U2                                36   1     18  18   1 29         27 0                     (0-0-0)
80-0071                          U2                                36   1     19  19   1 30         28 0                     (0-0-0)
80-0071                          U2                                36   1     20  20   1 31         29 0                     (0-0-0)
80-0071                          U2                                36   1     21  21   1 32         30 0 WAKE                (4228-20-13)
80-0071                          U2                                36   1     22  22   1 33         31 0                     (0-0-0)
80-0071                          U2                                36   1     23  23   1 34         32 0                     (0-0-0)
80-0071                          U2                                36   1     24  24   1 14         13 0                     (0-0-0)
80-0071                          U2                                36   1     25  25   1 16         15 0                     (0-0-0)
80-0071                          U2                                36   1     26  26   1 15         14 0                     (0-0-0)
80-0071                          U2                                36   1     27  27   1 19         18 0 UART_UC2WIFI        (4228-18-13)
80-0071                          U2                                36   1     28  28   1 20         19 0 UART_WIFI2UC        (4228-19-13)
80-0071                          U2                                36   1     29  29   1 3           3 0 VCC                 (43-2-13)
80-0071                          U2                                36   1     30  30   1 10         10 0 VCC                 (43-2-13)
80-0071                          U2                                36   1     31  31   1 35         33 0 VCC                 (43-2-13)
80-0071                          U2                                36   2      1   1   2 2           2 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1   3 51         48 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1   4 50         47 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1   5 49         46 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1   6 48         45 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1   7 46         43 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1   8 45         42 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0071                          U2                                36   2      1   1   9 44         41 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  10 42         39 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  11 41         38 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  12 40         37 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  13 39         36 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  14 37_38      35 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  15 36         34 0 GND                 (43-1-13)
80-0071                          U2                                36   2      1   1  16 26_27      25 0 GND                 (43-1-13)
