
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
40-0317                          U1                                 3   3      1   1   6 63         63 0 GND                 (43-1-13)
40-0317                          U1                                 3   3      1   1   7 18         18 0 GND                 (43-1-13)
40-0317                          U1                                 3   3      1   1   8 12         12 0 GND                 (43-1-13)
40-0332                          U5                                28   1      1   1   1 4           4 0 XSIG011435          (4486-1-13)
40-0332                          U5                                28   1      2   2   1 3           3 0                     (0-0-0)
40-0332                          U5                                28   1      3   3   1 5           5 0 USB_PC_TO_DEVICE_VBU(4167-1-13)
40-0332                          U5                                28   1      4   4   1 1           1 0 USB_DEVICE_TO_KEYBOA(4167-5-13)
40-0332                          U5                                28   2      1   1   2 2           2 0 GND                 (43-1-13)
70-0007                          J2                                 2   1      1   1   1 2           2 0 USB_DEVICE_TO_KEYBOA(4167-3-13)
70-0007                          J2                                 2   1      2   2   1 3           3 0 USB_DEVICE_TO_KEYBOA(4167-4-13)
70-0007                          J2                                 2   1      3   3   1 4           4 0 GND                 (43-1-13)
70-0007                          J2                                 2   1      4   4   1 5           5 0 GND                 (43-1-13)
70-0007                          J2                                 2   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0007                          J2                                 2   1      6   6   1 1           1 0 USB_DEVICE_TO_KEYBOA(4167-5-13)
70-0042                          J1                                 1   1      1   1   1 2           2 0 USB_PC_TO_DEVICE_DM (4134-5-13)
70-0042                          J1                                 1   1      2   2   1 3           3 0 USB_PC_TO_DEVICE_DP (4134-6-13)
70-0042                          J1                                 1   1      3   3   1 4           4 0 GND                 (43-1-13)
70-0042                          J1                                 1   1      4   4   1 5           5 0 GND                 (43-1-13)
70-0042                          J1                                 1   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0042                          J1                                 1   1      6   6   1 1           1 0 USB_PC_TO_DEVICE_VBU(4167-1-13)
70-0081                          J3                                16   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J3                                16   1      2   2   1 2           2 0 SWDIO_STM           (4134-2-13)
70-0081                          J3                                16   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J3                                16   1      4   4   1 4           4 0 SWCLK_STM           (4134-1-13)
70-0081                          J3                                16   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J3                                16   1      6   6   1 6           6 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0081                          J3                                16   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J3                                16   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J3                                16   1      9   9   1 10         10 0 RSTn                (4539-1-13)
70-0081                          J3                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0081                          J4                                15   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J4                                15   1      2   2   1 2           2 0 SWDIO               (4134-26-13)
70-0081                          J4                                15   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J4                                15   1      4   4   1 4           4 0 SWCLK               (4134-25-13)
70-0081                          J4                                15   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J4                                15   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J4                                15   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J4                                15   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J4                                15   1      9   9   1 10         10 0 RSTn_p02            (4539-3-13)
70-0081                          J4                                 0   2      1   1   2 7           7 1                     (0-0-0)
80-0050                          U4                                45   1      1   1   1 1           1 0 XSIG020164          (4236-1-13)
80-0050                          U4                                 0   2      1   1   2 2           2 1                     (0-0-0)
80-0063                          J5                                30   1      1   1   1 1           1 0 SPI_NSS             (4167-10-13)
80-0063                          J6                                29   1      1   1   1 1           1 0 SPI_SCK             (4134-10-13)
80-0063                          J7                                31   1      1   1   1 1           1 0 SPI_MISO            (4134-11-13)
80-0063                          J8                                32   1      1   1   1 1           1 0 SPI_MOSI            (4134-12-13)
83-0025                          QZ3                               37   1      1   1   1 1           1 0 XSIG020088          (4194-13-13)
83-0025                          QZ3                               37   1      2   2   1 3           3 0 XSIG020089          (4194-14-13)
83-0025                          QZ3                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ3                                0   2      1   1   3 4           4 1                     (0-0-0)
83-0028                          QZ5                               27   1      1   1   1 1           1 0 XSIG011391          (4282-2-13)
83-0028                          QZ5                               27   1      2   2   1 3           3 0 XSIG011389          (4282-1-13)
83-0028                          QZ5                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0028                          QZ5                                0   2      1   1   3 4           4 1                     (0-0-0)
